2020-07-11 19:39:19.179 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'fontColor' of type [com.octo.captcha.component.image.color.SingleColorGenerator] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-11 19:39:19.186 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'decoratedPaster' of type [com.octo.captcha.component.image.textpaster.DecoratedRandomTextPaster] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-11 19:39:19.194 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'wordtoimage' of type [com.octo.captcha.component.image.wordtoimage.ComposedWordToImage] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-11 19:39:19.204 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'captchaFactory' of type [com.octo.captcha.image.gimpy.GimpyFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-11 19:39:19.209 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'imageEngine' of type [com.octo.captcha.engine.GenericCaptchaEngine] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-11 19:39:19.212 [main] INFO  o.w.shiro.service.JcaptchaImageCaptchaService - Init org.walkframework.shiro.service.CacheCaptchaStore
2020-07-11 19:39:19.222 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jcaptchaImageCaptchaService' of type [org.walkframework.shiro.service.JcaptchaImageCaptchaService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-11 19:39:19.241 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jcaptchaFilter' of type [org.walkframework.shiro.web.filter.jcaptcha.JcaptchaFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-11 19:39:19.269 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'util:map#503fbbc6' of type [org.springframework.beans.factory.config.MapFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-11 19:39:19.277 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'util:map#503fbbc6' of type [java.util.LinkedHashMap] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-11 19:39:19.369 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'routeAuthFilter' of type [org.walkframework.shiro.web.filter.authc.RouteAuthFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-11 19:39:20.258 [main] INFO  o.s.b.c.e.tomcat.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8082 (http)
2020-07-11 19:39:20.283 [main] INFO  org.apache.catalina.core.StandardService - Starting service Tomcat
2020-07-11 19:39:20.285 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.0
2020-07-11 19:39:20.505 [localhost-startStop-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-07-11 19:39:22.122 [localhost-startStop-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-07-11 19:39:22.280 [localhost-startStop-1] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2020-07-11 19:39:22.285 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/saleweb] - Initializing Spring embedded WebApplicationContext
2020-07-11 19:39:22.287 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 9920 ms
2020-07-11 19:39:22.467 [localhost-startStop-1] INFO  o.s.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2020-07-11 19:39:22.468 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Filter characterEncodingFilter was not registered (disabled)
2020-07-11 19:39:22.468 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Filter formAuthFilter was not registered (disabled)
2020-07-11 19:39:22.468 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Filter logoutFilter was not registered (disabled)
2020-07-11 19:39:22.468 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Filter jcaptchaFilter was not registered (disabled)
2020-07-11 19:39:22.468 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Filter routeAuthFilter was not registered (disabled)
2020-07-11 19:39:22.468 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Filter shiroFilter was not registered (disabled)
2020-07-11 19:39:22.912 [main] WARN  o.w.base.system.security.DefaultUrlFilterLoader - Not loaded to URL permissions data. The possible reason is that the loadUrlFiltersData statement is not implemented in UrlSQL.xml
2020-07-11 19:39:23.316 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.walkframework.boot.context.WalkConfigEmbeddedWebApplicationContext@4c163e3: startup date [Sat Jul 11 19:39:12 CST 2020]; root of context hierarchy
2020-07-11 19:39:23.619 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/callapi/list/**]}" onto public java.lang.Object com.asiainfo.walk.webdemo.mvc.controller.common.CallApiController.list(org.walkframework.data.util.InParam<java.lang.String, java.lang.Object>,javax.servlet.http.HttpServletRequest)
2020-07-11 19:39:23.620 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/callapi/call/**]}" onto public java.lang.Object com.asiainfo.walk.webdemo.mvc.controller.common.CallApiController.call(org.walkframework.data.util.InParam<java.lang.String, java.lang.Object>,javax.servlet.http.HttpServletRequest)
2020-07-11 19:39:23.620 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/callapi/page/**]}" onto public java.lang.Object com.asiainfo.walk.webdemo.mvc.controller.common.CallApiController.page(org.walkframework.data.util.InParam<java.lang.String, java.lang.Object>,org.walkframework.data.bean.Pagination,javax.servlet.http.HttpServletRequest)
2020-07-11 19:39:23.622 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/component/eparchyList/{eparchyCode}]}" onto public java.util.List<?> com.asiainfo.walk.webdemo.mvc.controller.common.ComponentController.queryEparchyList()
2020-07-11 19:39:23.622 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/component/cityList/{eparchyCode}]}" onto public java.util.List<?> com.asiainfo.walk.webdemo.mvc.controller.common.ComponentController.queryCityList(java.lang.String)
2020-07-11 19:39:23.622 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/component/departTree]}" onto public java.lang.String com.asiainfo.walk.webdemo.mvc.controller.common.ComponentController.departTree(org.walkframework.data.util.InParam<java.lang.String, java.lang.Object>)
2020-07-11 19:39:23.623 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/component/staticlist/{typeId}]}" onto public java.util.List<org.walkframework.base.mvc.entity.TdSParam> com.asiainfo.walk.webdemo.mvc.controller.common.ComponentController.staticlist(java.lang.String)
2020-07-11 19:39:23.624 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/demo/callapi/forwardUserViewDemo/{userName}]}" onto public org.springframework.web.servlet.ModelAndView com.asiainfo.walk.webdemo.mvc.controller.demo.CallApiDemoController.forwardUserView(java.lang.String)
2020-07-11 19:39:23.625 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/demo/reward/delete]}" onto public java.lang.String com.asiainfo.walk.webdemo.mvc.controller.demo.RewardDemoController.delete(org.walkframework.data.util.InParam<java.lang.String, java.lang.Object>)
2020-07-11 19:39:23.626 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/demo/reward/save]}" onto public java.lang.String com.asiainfo.walk.webdemo.mvc.controller.demo.RewardDemoController.save(com.asiainfo.walk.webdemo.mvc.entity.TdBRewardRule)
2020-07-11 19:39:23.626 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/demo/reward/queryRewardRuleList]}" onto public java.lang.Object com.asiainfo.walk.webdemo.mvc.controller.demo.RewardDemoController.queryRewardRuleList(org.walkframework.data.util.InParam<java.lang.String, java.lang.Object>,org.walkframework.data.bean.Pagination)
2020-07-11 19:39:23.631 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/demo/user/modifyUser]}" onto public java.lang.String com.asiainfo.walk.webdemo.mvc.controller.demo.UserDemoController.modifyUser(com.asiainfo.walk.webdemo.mvc.entity.TdMUser,javax.servlet.http.HttpServletRequest)
